-BEGIN HEADER-,,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Climatology Climatologies ,,,,,,,,,,,,,,,
30-year Meteorological and Solar Monthly & Annual Climatologies (January 1990 - December 2019) ,,,,,,,,,,,,,,,
Location: Regional ,,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,,
T2M                 MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,,
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,,,,,
PRECTOTCORR         MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,,,,,
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm) ,,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,,
PARAMETER,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,40.25,-88.75,85.35,82.41,78.03,75.12,76.55,77.61,76.41,73.59,70.33,71.97,78.15,84.6,77.5
RH2M,40.25,-89.25,85.02,82.03,77.65,74.77,76.43,77.3,75.42,72.59,69.69,71.72,77.95,84.31,77.06
RH2M,40.25,-89.75,84.5,81.49,77.09,74.21,76.12,76.7,74.14,71.46,69.06,71.47,77.73,83.9,76.47
RH2M,40.25,-90.25,84.05,81.08,76.69,73.84,75.97,76.3,73.29,70.73,68.76,71.41,77.63,83.64,76.1
RH2M,40.25,-90.75,83.73,80.88,76.52,73.68,75.94,76.1,72.88,70.38,68.71,71.52,77.65,83.61,75.95
RH2M,40.25,-91.25,83.4,80.69,76.34,73.44,75.69,75.62,72.16,69.88,68.53,71.61,77.68,83.58,75.7
RH2M,40.25,-91.75,83.31,80.7,76.42,73.6,75.98,75.89,72.27,70.06,68.89,71.9,77.88,83.72,75.87
RH2M,40.75,-87.25,86.21,83.4,79.2,76.09,76.71,77.31,76.47,74.1,70.82,73.03,79.23,85.44,78.15
RH2M,40.75,-87.75,85.83,82.91,78.61,75.53,76.37,77.22,76.55,74.21,71.02,72.98,79.05,85.26,77.94
RH2M,40.75,-88.25,85.59,82.59,78.15,75.01,76.08,77.13,76.47,74.16,71.16,72.84,78.78,85.1,77.74
RH2M,40.75,-88.75,85.65,82.58,78.03,74.82,76.07,77.13,76.33,74.01,71.16,72.74,78.68,85.07,77.67
RH2M,40.75,-89.25,85.53,82.32,77.63,74.51,75.96,76.87,75.33,72.83,70.44,72.56,78.62,84.95,77.28
RH2M,40.75,-89.75,85.25,82.01,77.28,74.19,75.87,76.58,74.47,71.93,70,72.41,78.5,84.76,76.92
RH2M,40.75,-90.25,84.87,81.69,76.97,73.9,75.76,76.29,73.77,71.26,69.7,72.29,78.37,84.59,76.61
RH2M,40.75,-90.75,84.46,81.39,76.72,73.64,75.59,75.92,73.13,70.74,69.42,72.17,78.24,84.46,76.31
RH2M,40.75,-91.25,84.11,81.13,76.47,73.33,75.24,75.29,72.25,70.22,69.05,72.06,78.17,84.38,75.96
RH2M,40.75,-91.75,84.02,81.19,76.47,73.35,75.43,75.45,72.18,70.41,69.24,72.16,78.28,84.44,76.04
RH2M,41.25,-87.25,86.77,84.05,79.8,76.65,76.99,76.8,75.28,73.78,71.33,73.79,79.81,86,78.4
RH2M,41.25,-87.75,86.3,83.42,79.05,75.86,76.47,76.78,75.69,74.17,71.68,73.83,79.7,85.78,78.21
RH2M,41.25,-88.25,85.9,82.89,78.31,75.01,75.93,76.74,76.07,74.35,71.9,73.73,79.45,85.53,77.97
RH2M,41.25,-88.75,85.96,82.77,78.01,74.66,75.81,76.7,76.07,74.19,71.93,73.7,79.4,85.57,77.88
RH2M,41.25,-89.25,86.03,82.69,77.7,74.38,75.71,76.63,75.54,73.42,71.4,73.51,79.32,85.57,77.64
RH2M,41.25,-89.75,85.96,82.6,77.51,74.22,75.7,76.56,75.05,72.76,71.06,73.36,79.23,85.58,77.45
RH2M,41.25,-90.25,85.69,82.33,77.23,73.97,75.56,76.26,74.3,71.97,70.64,73.12,79.09,85.48,77.12
RH2M,41.25,-90.75,85.26,81.95,76.87,73.6,75.26,75.76,73.43,71.19,70.13,72.82,78.89,85.26,76.69
RH2M,41.25,-91.25,84.87,81.66,76.64,73.32,75.01,75.42,73,70.95,69.83,72.63,78.74,85.07,76.41
RH2M,41.25,-91.75,84.86,81.76,76.65,73.25,75.09,75.59,73.08,71.35,69.99,72.65,78.79,85.12,76.5
RH2M,41.75,-87.25,86.93,84.33,80.9,79.25,80.24,79.55,77.19,75.91,73.88,75.74,80.16,85.81,79.98
RH2M,41.75,-87.75,87.14,84.29,80.14,77.57,78.19,77.77,75.99,75.12,73.42,75.49,80.47,86.32,79.31
RH2M,41.75,-88.25,87.17,84.15,79.17,75.51,75.81,75.83,74.78,74.08,72.68,75.05,80.69,86.64,78.45
RH2M,41.75,-88.75,86.95,83.67,78.47,75.08,76.11,76.86,76.3,75.01,73.22,75.07,80.53,86.51,78.64
RH2M,41.75,-89.25,87.04,83.67,78.17,74.78,75.97,76.89,76.04,74.45,72.75,74.76,80.36,86.58,78.44
RH2M,41.75,-89.75,86.85,83.44,77.82,74.51,75.83,76.76,75.54,73.71,72.28,74.45,80.15,86.52,78.14
RH2M,41.75,-90.25,86.6,83.17,77.53,74.27,75.69,76.55,74.96,73.04,71.84,74.17,80.01,86.44,77.84
RH2M,41.75,-90.75,86.37,82.96,77.32,74.03,75.53,76.34,74.52,72.59,71.41,73.91,79.92,86.35,77.59
RH2M,41.75,-91.25,86.13,82.78,77.17,73.74,75.29,76.2,74.46,72.42,70.96,73.59,79.77,86.2,77.38
RH2M,41.75,-91.75,86.04,82.69,77.09,73.48,75.1,76.16,74.53,72.73,71.04,73.5,79.63,86.1,77.33
RH2M,42.25,-87.25,86.4,83.94,81.62,81.95,84.1,83.34,80.23,78.28,76,77.07,79.77,84.79,81.45
RH2M,42.25,-87.75,87.54,84.64,80.76,79.34,80.49,79.71,77.12,76.16,74.81,76.63,80.57,86.23,80.32
RH2M,42.25,-88.25,88.42,85.22,79.64,76.15,76.27,75.93,74.24,74.08,73.47,76.07,81.5,87.54,79.02
RH2M,42.25,-88.75,88.14,84.96,79.14,75.8,76.57,77.25,76.53,75.73,74.36,76.23,81.48,87.52,79.46
RH2M,42.25,-89.25,88.08,84.78,78.7,75.42,76.39,77.29,76.36,75.24,73.96,75.89,81.27,87.56,79.23
RH2M,42.25,-89.75,87.96,84.63,78.42,75.24,76.4,77.37,76.19,74.82,73.67,75.7,81.18,87.59,79.08
RH2M,42.25,-90.25,87.79,84.45,78.18,75.07,76.4,77.38,75.94,74.39,73.3,75.48,81.12,87.58,78.91
RH2M,42.25,-90.75,87.64,84.29,77.99,74.8,76.23,77.3,75.73,74.07,72.83,75.16,81.01,87.52,78.7
RH2M,42.25,-91.25,87.59,84.27,77.94,74.47,75.89,77.2,75.92,74.12,72.44,74.81,80.9,87.48,78.57
RH2M,42.25,-91.75,87.43,84.04,77.73,74.01,75.38,76.89,75.78,74.03,72.09,74.38,80.57,87.25,78.28
,,,,,,,,,,,,,,,
PRECTOTCORR,36.75,-87.25,2.81,3.3,3.88,4.03,4.45,3.66,3.41,1.85,2.21,2.95,2.9,4.01,4.83
PRECTOTCORR,36.75,-87.75,2.67,3.45,4.13,4.27,4.24,3.52,3.27,1.63,2.39,2.81,2.79,3.9,4.55
PRECTOTCORR,36.75,-88.25,2.78,3.53,4.34,4.5,4.15,3.48,3.09,1.65,2.5,2.65,2.92,3.92,4.48
PRECTOTCORR,36.75,-88.75,2.99,3.25,4.13,4.57,4.22,3.34,2.81,1.93,2.29,3.08,2.99,3.78,4.83
PRECTOTCORR,36.75,-89.25,2.78,3.25,4.27,4.64,4.15,3.27,2.74,1.51,2.21,3.01,3.06,3.43,4.62
PRECTOTCORR,36.75,-89.75,2.67,2.94,4.2,4.82,4.39,2.94,2.67,1.51,2.14,2.62,3.23,3.18,4.62
PRECTOTCORR,36.75,-90.25,2.5,2.58,3.92,5.03,4.5,2.58,2.67,1.93,2.18,2.44,3.3,2.87,4.48
PRECTOTCORR,36.75,-90.75,2.25,2.39,3.6,5.12,4.41,2.39,2.71,2.55,2.39,2.5,3.2,2.6,4.18
PRECTOTCORR,36.75,-91.25,2.11,2.46,3.6,4.83,4.48,2.46,2.64,2.9,2.81,2.29,2.99,2.81,4.04
PRECTOTCORR,36.75,-91.75,2.18,2.32,3.74,4.76,4.62,2.53,2.64,2.9,2.81,2.21,2.92,2.74,4.11
PRECTOTCORR,37.25,-87.25,2.67,2.92,3.8,4.31,4.48,3.81,3.64,1.9,2.21,3.01,2.87,3.83,4.73
PRECTOTCORR,37.25,-87.75,2.6,2.81,3.83,4.52,4.24,3.6,3.46,1.65,2.32,2.76,2.83,3.52,4.38
PRECTOTCORR,37.25,-88.25,2.51,2.78,3.76,4.52,4.15,3.53,3.16,1.51,2.29,2.58,2.99,3.2,4.29
PRECTOTCORR,37.25,-88.75,2.37,2.64,3.69,4.31,4.22,3.25,2.81,1.58,1.93,2.72,2.99,2.99,4.57
PRECTOTCORR,37.25,-89.25,2.44,2.64,3.76,4.45,4.15,3.11,2.6,1.51,2,2.79,2.92,2.78,4.36
PRECTOTCORR,37.25,-89.75,2.41,2.48,3.67,4.69,4.39,2.87,2.65,1.81,2.23,2.55,3.01,2.62,4.52
PRECTOTCORR,37.25,-90.25,2.3,2.3,3.5,4.8,4.54,2.69,2.65,2.27,2.37,2.34,3.01,2.51,4.48
PRECTOTCORR,37.25,-90.75,2.09,2.18,3.34,4.71,4.52,2.71,2.64,2.65,2.44,2.27,2.88,2.43,4.18
PRECTOTCORR,37.25,-91.25,1.67,2.11,3.34,4.57,4.66,2.99,2.99,2.72,2.72,2.2,2.81,2.29,4.04
PRECTOTCORR,37.25,-91.75,1.74,2.18,3.34,4.57,4.59,3.13,2.92,2.94,3.01,2.27,2.67,2.29,4.18
PRECTOTCORR,37.75,-87.25,2.44,2.44,3.69,4.17,4.57,3.64,3.48,1.93,2.2,2.6,2.83,3.23,4.43
PRECTOTCORR,37.75,-87.75,2.2,2.16,3.55,4.2,4.32,3.5,3.23,1.76,2.2,2.43,2.94,2.95,4.15
PRECTOTCORR,37.75,-88.25,1.93,1.81,3.3,4.27,4.24,3.3,3.04,1.74,2.14,2.41,2.97,2.58,4.04
PRECTOTCORR,37.75,-88.75,1.93,1.67,3.16,4.13,4.31,3.16,2.9,1.67,1.93,2.55,2.9,2.37,4.04
PRECTOTCORR,37.75,-89.25,1.79,1.81,3.23,4.13,4.31,3.09,2.83,1.6,2.07,2.62,2.76,2.3,3.97
PRECTOTCORR,37.75,-89.75,1.71,1.85,3.04,4.39,4.52,3.02,2.92,2.11,2.11,2.43,2.72,2.23,3.96
PRECTOTCORR,37.75,-90.25,1.63,1.88,2.94,4.46,4.66,3.02,2.85,2.57,2.21,2.14,2.69,2.2,3.81
PRECTOTCORR,37.75,-90.75,1.49,1.88,2.99,4.32,4.64,3.13,2.69,2.74,2.43,2.02,2.62,2.09,3.62
PRECTOTCORR,37.75,-91.25,1.14,1.67,2.99,4.39,4.57,3.34,2.9,2.81,2.64,2.37,2.55,1.67,3.69
PRECTOTCORR,37.75,-91.75,1.28,1.74,2.78,4.46,4.5,3.69,2.9,3.02,2.71,2.51,2.34,1.6,3.76
PRECTOTCORR,38.25,-87.25,2.21,1.99,3.36,4.1,4.46,3.66,3.59,2.07,2.11,2.41,2.71,2.78,4.29
PRECTOTCORR,38.25,-87.75,1.9,1.85,3.22,3.88,4.36,3.66,3.27,1.93,2.11,2.37,2.88,2.53,3.94
PRECTOTCORR,38.25,-88.25,1.56,1.55,3.09,3.78,4.31,3.59,2.88,1.93,2.11,2.39,2.95,2.32,3.5
PRECTOTCORR,38.25,-88.75,1.49,1.41,2.81,3.78,4.31,3.52,2.81,1.93,2.11,2.46,2.81,2.11,3.43
PRECTOTCORR,38.25,-89.25,1.28,1.41,2.81,3.71,4.38,3.52,2.88,1.93,2.11,2.53,2.74,2.04,3.43
PRECTOTCORR,38.25,-89.75,1.18,1.41,2.5,3.85,4.5,3.36,3.01,2.2,2.11,2.23,2.62,1.81,3.22
PRECTOTCORR,38.25,-90.25,1.11,1.44,2.43,4.03,4.5,3.25,2.9,2.48,2.29,1.95,2.48,1.71,2.97
PRECTOTCORR,38.25,-90.75,1,1.49,2.6,4.22,4.39,3.32,2.64,2.71,2.53,1.93,2.34,1.67,2.87
PRECTOTCORR,38.25,-91.25,0.79,1.49,2.46,4.57,4.39,3.6,2.64,2.99,2.46,2.29,2.2,1.32,3.08
PRECTOTCORR,38.25,-91.75,0.79,1.49,2.32,4.64,4.39,3.81,2.64,3.06,2.32,2.36,2.06,1.11,3.15
PRECTOTCORR,38.75,-87.25,1.95,1.71,2.69,4.25,4.22,3.94,3.57,2.32,2.43,2.41,2.83,2.44,4.15
PRECTOTCORR,38.75,-87.75,1.74,1.6,2.58,3.97,4.22,3.83,3.32,2.21,2.36,2.37,2.97,2.13,3.76
PRECTOTCORR,38.75,-88.25,1.55,1.49,2.55,3.55,4.17,3.81,2.85,2.09,2.18,2.34,3.02,1.97,3.32
PRECTOTCORR,38.75,-88.75,1.41,1.49,2.2,3.34,3.96,3.96,2.64,2.02,2.11,2.2,2.81,1.76,3.25
PRECTOTCORR,38.75,-89.25,1.2,1.28,2.06,3.34,4.17,3.96,2.71,2.16,2.04,2.27,2.53,1.62,3.04
PRECTOTCORR,38.75,-89.75,1.14,1.28,1.81,3.34,4.22,3.74,2.94,2.36,1.97,2.07,2.41,1.32,2.72
PRECTOTCORR,38.75,-90.25,1.07,1.28,1.81,3.55,4.15,3.53,2.83,2.6,2.18,1.93,2.3,1.21,2.51
PRECTOTCORR,38.75,-90.75,0.9,1.27,2.04,3.92,4.11,3.52,2.55,2.81,2.53,2.02,2.11,1.27,2.48
PRECTOTCORR,38.75,-91.25,0.62,1.41,2.11,4.13,4.39,3.87,2.9,2.81,2.46,2.37,1.76,1.05,2.55
PRECTOTCORR,38.75,-91.75,0.54,1.41,2.04,4.06,4.25,3.87,2.83,2.95,2.53,2.3,1.76,1.12,2.62
PRECTOTCORR,39.25,-87.25,1.51,1.46,2.25,3.97,3.99,4.22,3.3,2.6,2.44,2.55,2.88,1.9,3.97
PRECTOTCORR,39.25,-87.75,1.37,1.28,2.07,3.83,3.96,3.97,3.06,2.53,2.23,2.44,2.78,1.69,3.62
PRECTOTCORR,39.25,-88.25,1.32,1.23,1.97,3.45,3.92,3.88,2.85,2.39,2,2.27,2.71,1.55,3.22
PRECTOTCORR,39.25,-88.75,1.32,1.23,1.76,3.16,3.78,3.96,2.64,2.46,1.93,2.2,2.64,1.41,3.08
PRECTOTCORR,39.25,-89.25,1.04,1.09,1.55,3.23,3.85,3.88,2.57,2.53,1.79,2.13,2.36,1.2,2.72
PRECTOTCORR,39.25,-89.75,0.97,1,1.34,3.3,3.87,3.87,2.55,2.71,1.76,1.95,2.18,1.04,2.48
PRECTOTCORR,39.25,-90.25,0.86,1,1.3,3.38,3.83,3.73,2.41,2.78,1.9,1.95,2.04,0.97,2.27
PRECTOTCORR,39.25,-90.75,0.65,1.09,1.49,3.41,3.81,3.55,2.34,2.74,2.16,2.14,1.86,0.93,2.11
PRECTOTCORR,39.25,-91.25,0.44,1.23,1.85,3.34,3.96,3.69,2.9,2.81,2.37,2.29,1.58,0.79,2.11
PRECTOTCORR,39.25,-91.75,0.44,1.23,1.78,3.27,3.81,3.76,2.83,2.95,2.65,2.29,1.58,0.86,2.32
PRECTOTCORR,39.75,-87.25,1.2,1.23,2.16,3.48,3.8,4.2,3.5,3.08,2.04,2.46,2.46,1.51,3.6
PRECTOTCORR,39.75,-87.75,0.98,1.02,1.95,3.34,3.8,3.81,3.36,3.01,1.9,2.36,2.21,1.34,3.11
PRECTOTCORR,39.75,-88.25,0.86,0.97,1.78,3.08,3.87,3.66,3.13,2.88,1.85,2.2,2.14,1.23,2.58
PRECTOTCORR,39.75,-88.75,0.79,0.97,1.49,3.08,3.52,3.87,2.64,2.81,1.85,2.2,2.29,1.23,2.37
PRECTOTCORR,39.75,-89.25,0.65,0.9,1.35,3.22,3.52,3.59,2.64,2.88,1.63,2.13,2.21,1.09,2.23
PRECTOTCORR,39.75,-89.75,0.56,0.77,1.16,3.2,3.67,3.67,2.43,2.85,1.69,2,1.93,1.05,2.09
PRECTOTCORR,39.75,-90.25,0.46,0.84,1.12,3.13,3.71,3.71,2.21,2.71,1.72,1.97,1.72,0.95,2.02
PRECTOTCORR,39.75,-90.75,0.33,1.02,1.25,3.11,3.64,3.57,2.18,2.64,1.74,1.99,1.63,0.76,2
PRECTOTCORR,39.75,-91.25,0.26,0.88,1.32,3.25,3.78,3.43,2.46,2.99,2.02,1.85,1.49,0.62,1.93
PRECTOTCORR,39.75,-91.75,0.26,0.88,1.32,3.32,3.78,3.36,2.53,3.06,2.23,1.92,1.49,0.47,2.07
PRECTOTCORR,40.25,-87.25,1.09,1.05,1.97,2.97,3.71,4.1,3.59,3.11,2.04,2.39,2,1.21,2.99
PRECTOTCORR,40.25,-87.75,0.81,0.84,1.76,2.79,3.74,3.74,3.62,3.08,2.07,2.43,1.72,1.18,2.57
PRECTOTCORR,40.25,-88.25,0.67,0.79,1.67,2.64,3.85,3.45,3.41,3.06,2,2.36,1.72,1.21,2.13
PRECTOTCORR,40.25,-88.75,0.53,0.79,1.32,2.64,3.43,3.52,2.99,2.99,1.93,2.29,1.93,1.14,1.85
PRECTOTCORR,40.25,-89.25,0.46,0.86,1.39,2.64,3.43,3.45,3.06,2.85,1.86,2.29,1.79,1.07,1.71
PRECTOTCORR,40.25,-89.75,0.39,0.77,1.41,2.58,3.59,3.48,2.81,2.87,1.85,2.13,1.65,1.05,1.67
PRECTOTCORR,40.25,-90.25,0.28,0.81,1.34,2.72,3.76,3.55,2.5,2.72,1.85,1.92,1.51,0.84,1.78
PRECTOTCORR,40.25,-90.75,0.16,0.91,1.27,2.99,3.88,3.6,2.27,2.51,1.85,1.76,1.39,0.49,1.92
PRECTOTCORR,40.25,-91.25,0.09,0.7,1.41,2.99,3.96,3.6,2.2,2.72,1.85,1.76,1.32,0.35,1.85
PRECTOTCORR,40.25,-91.75,0.09,0.63,1.13,3.2,4.1,3.46,2.41,2.94,2.06,1.76,1.32,0.35,1.71
PRECTOTCORR,40.75,-87.25,1.07,0.95,1.67,2.65,3.76,4.08,3.45,2.78,2.04,2.39,1.58,0.97,2.5
PRECTOTCORR,40.75,-87.75,0.86,0.84,1.53,2.51,3.8,3.94,3.34,2.67,2,2.5,1.37,1,2.21
PRECTOTCORR,40.75,-88.25,0.63,0.77,1.56,2.41,3.9,3.73,3.27,2.76,1.9,2.5,1.34,1.04,1.76
PRECTOTCORR,40.75,-88.75,0.35,0.7,1.49,2.2,3.69,3.52,2.99,2.9,2.11,2.29,1.41,0.97,1.41
PRECTOTCORR,40.75,-89.25,0.28,0.77,1.56,2.34,3.69,3.59,2.92,2.69,2.18,2.21,1.34,0.97,1.34
PRECTOTCORR,40.75,-89.75,0.26,0.69,1.58,2.32,3.64,3.6,2.74,2.79,2.09,1.99,1.48,0.81,1.42
PRECTOTCORR,40.75,-90.25,0.19,0.65,1.44,2.53,3.81,3.57,2.64,2.65,2.06,1.78,1.41,0.6,1.53
PRECTOTCORR,40.75,-90.75,0.07,0.69,1.3,2.87,4.08,3.55,2.64,2.34,2.06,1.69,1.14,0.39,1.6
PRECTOTCORR,40.75,-91.25,0,0.62,1.58,2.72,3.87,3.69,2.64,2.55,1.85,1.76,1.14,0.18,1.67
PRECTOTCORR,40.75,-91.75,0,0.4,1.16,2.79,4.01,3.83,2.64,2.76,2.2,1.83,1.07,0.25,1.6
PRECTOTCORR,41.25,-87.25,0.84,0.88,1.3,2.76,3.73,3.73,3.46,2.94,1.85,2.36,1.28,0.88,2.02
PRECTOTCORR,41.25,-87.75,0.74,0.84,1.34,2.65,3.87,3.8,3.22,2.87,1.81,2.29,1.35,0.84,1.92
PRECTOTCORR,41.25,-88.25,0.46,0.76,1.49,2.5,4.06,3.9,3.09,2.78,1.88,2.23,1.39,0.76,1.65
PRECTOTCORR,41.25,-88.75,0.18,0.62,1.49,2.29,3.78,3.69,2.81,2.64,2.37,2.02,1.32,0.62,1.23
PRECTOTCORR,41.25,-89.25,0.18,0.62,1.49,2.5,3.85,3.55,2.53,2.71,2.3,1.95,1.32,0.62,1.37
PRECTOTCORR,41.25,-89.75,0.12,0.62,1.44,2.55,3.87,3.73,2.62,2.72,2.07,1.78,1.37,0.46,1.41
PRECTOTCORR,41.25,-90.25,0.05,0.58,1.37,2.58,3.9,3.8,2.79,2.65,2,1.6,1.27,0.39,1.44
PRECTOTCORR,41.25,-90.75,0,0.51,1.34,2.69,3.96,3.73,2.97,2.67,2.07,1.53,1.05,0.39,1.55
PRECTOTCORR,41.25,-91.25,0,0.44,1.41,2.9,3.96,3.87,3.25,3.16,1.93,1.67,1.05,0.18,1.76
PRECTOTCORR,41.25,-91.75,0,0.16,1.05,2.62,3.88,4.15,3.11,3.09,2.07,1.88,0.98,0.18,1.76
PRECTOTCORR,41.75,-87.25,0.53,0.81,0.91,2.67,3.67,3.43,3.2,3.23,1.86,2.44,1.23,0.7,1.76
PRECTOTCORR,41.75,-87.75,0.46,0.67,1.09,2.67,3.96,3.64,3.09,3.2,1.86,2.2,1.34,0.67,1.86
PRECTOTCORR,41.75,-88.25,0.32,0.6,1.39,2.72,4.17,3.94,2.99,2.97,2.07,2.16,1.48,0.58,1.97
PRECTOTCORR,41.75,-88.75,0.18,0.53,1.32,2.72,3.96,3.87,2.99,2.9,2.29,2.02,1.41,0.44,1.76
PRECTOTCORR,41.75,-89.25,0.11,0.53,1.46,2.58,4.03,3.8,2.71,3.11,2.36,1.81,1.41,0.37,1.62
PRECTOTCORR,41.75,-89.75,0.04,0.58,1.55,2.65,4.04,3.99,2.79,3.01,2.06,1.76,1.25,0.35,1.48
PRECTOTCORR,41.75,-90.25,0,0.47,1.51,2.69,3.87,4.13,2.9,3.01,1.95,1.69,1.11,0.32,1.55
PRECTOTCORR,41.75,-90.75,0,0.25,1.39,2.69,3.64,4.24,3.04,3.29,2.09,1.62,1.04,0.25,1.78
PRECTOTCORR,41.75,-91.25,0,0.18,1.32,2.9,3.78,4.66,3.6,3.78,2.02,1.76,0.97,0.18,1.85
PRECTOTCORR,41.75,-91.75,0,0.04,1.04,2.62,3.64,4.66,3.46,3.57,2.02,1.83,0.9,0.18,1.78
PRECTOTCORR,42.25,-87.25,0.44,0.72,0.83,2.55,3.39,3.41,2.48,3.06,2.02,2.44,1.32,0.51,1.67
PRECTOTCORR,42.25,-87.75,0.37,0.58,1.04,2.65,3.78,3.69,2.72,3.06,2.09,2.2,1.28,0.47,1.78
PRECTOTCORR,42.25,-88.25,0.25,0.53,1.39,2.85,4.03,4.01,2.78,2.94,2.2,2.16,1.48,0.53,1.93
PRECTOTCORR,42.25,-88.75,0.18,0.53,1.32,2.99,3.96,4.22,2.99,3.08,2.2,2.02,1.41,0.53,1.93
PRECTOTCORR,42.25,-89.25,0.04,0.39,1.39,2.71,3.88,4.22,3.13,3.43,2.41,1.81,1.34,0.53,1.72
PRECTOTCORR,42.25,-89.75,0,0.35,1.46,2.79,3.81,4.32,3.16,3.2,2.25,1.86,1.16,0.47,1.67
PRECTOTCORR,42.25,-90.25,0,0.21,1.39,2.87,3.64,4.36,3.16,3.16,2.21,1.79,0.98,0.37,1.71
PRECTOTCORR,42.25,-90.75,0,0,1.2,2.83,3.46,4.43,3.25,3.45,2.32,1.67,0.86,0.25,1.78
PRECTOTCORR,42.25,-91.25,0,0,1.05,2.9,3.6,4.92,3.6,3.52,2.11,2.02,0.79,0.18,1.85
PRECTOTCORR,42.25,-91.75,0,0,0.98,2.69,3.46,4.78,3.74,3.52,2.04,1.88,0.72,0.18,1.71
,,,,,,,,,,,,,,,
PRECTOTCORR_SUM,36.75,-87.25,2655.18,3163.54,3344.41,3539.53,3812.7,3044.36,3098.14,2203.77,2498.55,2771.72,2852.4,3528.46,36512.75
PRECTOTCORR_SUM,36.75,-87.75,2626.7,3118.18,3368.67,3563.79,3793.71,2992.68,2964.2,2114.12,2459.53,2751.68,2897.75,3471.5,36122.52
PRECTOTCORR_SUM,36.75,-88.25,2631.97,3062.81,3382.91,3623.91,3802.68,3010.08,2879.82,2079.84,2426.84,2737.97,2997.42,3447.77,36084.02
PRECTOTCORR_SUM,36.75,-88.75,2634.08,3005.86,3351.27,3775.78,3762.6,2984.77,2776.46,2056.64,2346.68,2784.38,3111.33,3422.46,36012.3
PRECTOTCORR_SUM,36.75,-89.25,2608.77,2991.09,3357.6,3758.91,3781.58,2944.69,2727.95,2031.33,2353.01,2769.61,3111.33,3376.05,35811.91
PRECTOTCORR_SUM,36.75,-89.75,2575.55,2811.8,3321.21,3852.77,3740.45,2762.23,2707.91,2080.37,2340.35,2756.43,3201.5,3245.8,35396.37
PRECTOTCORR_SUM,36.75,-90.25,2473.24,2617.73,3270.59,3918.16,3729.9,2586.09,2702.64,2220.64,2380.43,2731.11,3275.33,3071.78,34977.66
PRECTOTCORR_SUM,36.75,-90.75,2316.09,2472.19,3224.71,3901.82,3764.18,2504.36,2693.14,2393.09,2496.45,2699.47,3280.08,2880.35,34625.92
PRECTOTCORR_SUM,36.75,-91.25,2193.75,2351.95,3193.07,3836.43,3781.05,2544.43,2655.18,2462.7,2663.09,2686.82,3216.8,2684.18,34269.43
PRECTOTCORR_SUM,36.75,-91.75,2132.58,2295,3209.94,3813.22,3825.35,2611.93,2674.16,2517.54,2760.12,2716.35,3176.72,2599.8,34332.71
PRECTOTCORR_SUM,37.25,-87.25,2573.44,2924.65,3320.68,3620.21,3798.98,3115.55,3133.48,2187.95,2463.75,2760.12,2829.2,3379.22,36107.23
PRECTOTCORR_SUM,37.25,-87.75,2532.3,2807.58,3292.21,3620.21,3719.88,3017.46,3010.08,2104.63,2412.07,2682.07,2860.84,3251.6,35310.94
PRECTOTCORR_SUM,37.25,-88.25,2520.18,2729,3258.98,3678.22,3724.1,3021.15,2903.03,2095.14,2379.9,2643.05,2967.89,3158.26,35078.91
PRECTOTCORR_SUM,37.25,-88.75,2496.97,2655.18,3258.98,3752.05,3728.32,2997.95,2797.56,2101.46,2301.86,2657.81,3079.69,3082.32,34910.16
PRECTOTCORR_SUM,37.25,-89.25,2477.99,2621.43,3218.91,3787.91,3743.09,2972.64,2765.92,2097.25,2333.5,2657.81,3079.69,3054.9,34811.02
PRECTOTCORR_SUM,37.25,-89.75,2408.38,2489.59,3166.17,3855.41,3791.07,2838.16,2748.52,2211.68,2373.05,2665.72,3168.28,2908.83,34624.86
PRECTOTCORR_SUM,37.25,-90.25,2276.54,2344.04,3090.23,3893.38,3862.79,2713.71,2752.73,2393.09,2444.77,2636.19,3235.78,2711.6,34354.86
PRECTOTCORR_SUM,37.25,-90.75,2110.43,2236.46,3031.17,3885.47,3938.2,2681.02,2766.45,2568.16,2566.05,2583.98,3218.38,2523.87,34109.65
PRECTOTCORR_SUM,37.25,-91.25,1977.54,2185.84,3079.69,3860.16,3986.72,2784.38,2758.01,2641.99,2747.46,2583.98,3098.14,2399.41,34103.32
PRECTOTCORR_SUM,37.25,-91.75,1939.57,2128.89,3079.69,3801.09,4001.48,2887.73,2865.59,2766.45,2895.12,2628.28,2992.68,2310.82,34297.38
PRECTOTCORR_SUM,37.75,-87.25,2478.52,2625.12,3246.33,3665.57,3823.24,3145.08,3110.8,2204.3,2443.71,2639.88,2802.83,3146.13,35331.5
